country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Rajasthan,Jaipur,"Mansarovar Sector-12, Jaipur - RSPCB","01-02-2024 11:00:00",26.843698,75.766894,CO,40,94,75
India,Rajasthan,Jaipur,"Police Commissionerate, Jaipur - RSPCB","01-02-2024 11:00:00",26.9164092,75.7994901,PM10,112,201,161
India,Rajasthan,Jaipur,"Police Commissionerate, Jaipur - RSPCB","01-02-2024 11:00:00",26.9164092,75.7994901,NH3,12,25,18
India,Rajasthan,Jaipur,"RIICO Sitapura, Jaipur - RSPCB","01-02-2024 11:00:00",26.786682,75.827928,NH3,3,5,3
India,Rajasthan,Jaipur,"Sector-2 Murlipura, Jaipur - RSPCB","01-02-2024 11:00:00",26.960669,75.771817,SO2,5,19,11
India,Rajasthan,Jaipur,"Shastri Nagar, Jaipur - RSPCB","01-02-2024 11:00:00",26.9502929,75.730943,PM2.5,28,270,186
India,Rajasthan,Jaipur,"Shastri Nagar, Jaipur - RSPCB","01-02-2024 11:00:00",26.9502929,75.730943,SO2,1,27,19
India,Rajasthan,Jaisalmer,"Sadar Bazar, Jaisalmer - RSPCB","01-02-2024 11:00:00",26.912329,70.909168,NH3,13,42,22
India,Rajasthan,Jalore,"Mudtra Sili, Jalore - RSPCB","01-02-2024 11:00:00",25.344694,72.626208,PM10,45,186,92
India,Rajasthan,Jhalawar,"Rajlaxmi Nagar, Jhalawar - RSPCB","01-02-2024 11:00:00",24.588397,76.172782,PM2.5,44,221,109
India,Rajasthan,Jhalawar,"Rajlaxmi Nagar, Jhalawar - RSPCB","01-02-2024 11:00:00",24.588397,76.172782,OZONE,5,84,30
India,Rajasthan,Jhunjhunu,"Indra Nagar, Jhunjhunu - RSPCB","01-02-2024 11:00:00",28.108988,75.386577,PM10,108,269,167
India,Rajasthan,Jhunjhunu,"Indra Nagar, Jhunjhunu - RSPCB","01-02-2024 11:00:00",28.108988,75.386577,SO2,1,5,3
India,Rajasthan,Jhunjhunu,"Indra Nagar, Jhunjhunu - RSPCB","01-02-2024 11:00:00",28.108988,75.386577,CO,45,90,68
India,Rajasthan,Jhunjhunu,"Indra Nagar, Jhunjhunu - RSPCB","01-02-2024 11:00:00",28.108988,75.386577,OZONE,4,54,21
India,Rajasthan,Jodhpur,"Digari Kalan, Jodhpur - RSPCB","01-02-2024 11:00:00",26.295810,73.082283,OZONE,11,85,35
India,Rajasthan,Jodhpur,"Jhalamand, Jodhpur - RSPCB","01-02-2024 11:00:00",26.215415,73.070156,PM2.5,17,201,49
India,Rajasthan,Jodhpur,"Mandor, Jodhpur - RSPCB","01-02-2024 11:00:00",26.358805,73.047444,PM10,37,120,64
India,Rajasthan,Jodhpur,"Mandor, Jodhpur - RSPCB","01-02-2024 11:00:00",26.358805,73.047444,NO2,28,106,42
India,Rajasthan,Jodhpur,"Mandor, Jodhpur - RSPCB","01-02-2024 11:00:00",26.358805,73.047444,SO2,2,6,4
India,Rajasthan,Jodhpur,"Mandor, Jodhpur - RSPCB","01-02-2024 11:00:00",26.358805,73.047444,CO,8,30,13
India,Rajasthan,Kota,"Dhanmandi, Kota - RSPCB","01-02-2024 11:00:00",25.164090,75.858137,PM2.5,42,335,160
India,Rajasthan,Kota,"Dhanmandi, Kota - RSPCB","01-02-2024 11:00:00",25.164090,75.858137,PM10,73,227,132
India,Rajasthan,Kota,"Nayapura, Kota - RSPCB","01-02-2024 11:00:00",25.196024,75.855668,PM2.5,72,311,198
India,Rajasthan,Kota,"Nayapura, Kota - RSPCB","01-02-2024 11:00:00",25.196024,75.855668,PM10,114,302,152
India,Rajasthan,Kota,"Nayapura, Kota - RSPCB","01-02-2024 11:00:00",25.196024,75.855668,NH3,7,12,10
India,Rajasthan,Kota,"Nayapura, Kota - RSPCB","01-02-2024 11:00:00",25.196024,75.855668,OZONE,1,110,13
India,Rajasthan,Kota,"Shrinath Puram, Kota - RSPCB","01-02-2024 11:00:00",25.14389,75.821256,PM2.5,61,304,142
India,Rajasthan,Kota,"Shrinath Puram, Kota - RSPCB","01-02-2024 11:00:00",25.14389,75.821256,SO2,7,25,11
India,Rajasthan,Pali,"Indira Colony Vistar, Pali - RSPCB","01-02-2024 11:00:00",25.771061," 73.340227",PM2.5,26,132,65
India,Rajasthan,Pali,"Indira Colony Vistar, Pali - RSPCB","01-02-2024 11:00:00",25.771061," 73.340227",NH3,6,17,13
India,Rajasthan,Pali,"Indira Colony Vistar, Pali - RSPCB","01-02-2024 11:00:00",25.771061," 73.340227",SO2,18,20,19
India,Rajasthan,Pratapgarh,"Pragati Nagar, Pratapgarh - RSPCB","01-02-2024 11:00:00",24.041198,74.780702,PM2.5,43,124,73
India,Rajasthan,Pratapgarh,"Pragati Nagar, Pratapgarh - RSPCB","01-02-2024 11:00:00",24.041198,74.780702,CO,2,23,8
India,Rajasthan,Pratapgarh,"Pragati Nagar, Pratapgarh - RSPCB","01-02-2024 11:00:00",24.041198,74.780702,OZONE,38,104,52
India,Rajasthan,Rajsamand,"Dhoinda, Rajsamand - RSPCB","01-02-2024 11:00:00",25.036360,73.883502,OZONE,8,46,19
India,Rajasthan,"Sawai Madhopur","Sahu Nagar, Sawai Madhopur - RSPCB","01-02-2024 11:00:00",26.031443,76.359327,NO2,6,26,12
India,Rajasthan,"Sawai Madhopur","Sahu Nagar, Sawai Madhopur - RSPCB","01-02-2024 11:00:00",26.031443,76.359327,SO2,4,14,9
India,Rajasthan,"Sawai Madhopur","Sahu Nagar, Sawai Madhopur - RSPCB","01-02-2024 11:00:00",26.031443,76.359327,OZONE,7,84,16
India,Rajasthan,Sikar,"Radhakishan Pura, Sikar - RSPCB","01-02-2024 11:00:00",27.608912,75.153302,PM2.5,93,355,257
India,Rajasthan,Sikar,"Radhakishan Pura, Sikar - RSPCB","01-02-2024 11:00:00",27.608912,75.153302,NH3,9,22,12
India,Rajasthan,Sikar,"Radhakishan Pura, Sikar - RSPCB","01-02-2024 11:00:00",27.608912,75.153302,SO2,4,20,7
India,Rajasthan,Sirohi,"Vedhaynath Colony, Sirohi - RSPCB","01-02-2024 11:00:00",24.885261,72.857549,NH3,6,9,7
India,Rajasthan,Sirohi,"Vedhaynath Colony, Sirohi - RSPCB","01-02-2024 11:00:00",24.885261,72.857549,CO,3,38,24
India,Rajasthan,Sirohi,"Vedhaynath Colony, Sirohi - RSPCB","01-02-2024 11:00:00",24.885261,72.857549,OZONE,5,87,34
India,Rajasthan,"Sri Ganganagar","Old City, Sri Ganganagar - RSPCB","01-02-2024 11:00:00",29.931624,73.864511,CO,56,155,66
India,Rajasthan,"Sri Ganganagar","Old City, Sri Ganganagar - RSPCB","01-02-2024 11:00:00",29.931624,73.864511,OZONE,4,61,15
India,Rajasthan,Tonk,"Shastri Nagar, Tonk - RSPCB","01-02-2024 11:00:00",26.159933,75.780517,PM10,105,195,151
India,Rajasthan,Tonk,"Shastri Nagar, Tonk - RSPCB","01-02-2024 11:00:00",26.159933,75.780517,NH3,5,14,7
India,Sikkim,Gangtok,"Zero Point GICI, Gangtok - SSPCB","01-02-2024 11:00:00",27.338530,88.614099,OZONE,11,60,23
India,TamilNadu,Ariyalur,"Keelapalur, Ariyalur - TNPCB","01-02-2024 11:00:00",11.06825,79.07033,SO2,22,28,24
India,TamilNadu,Chengalpattu,"Crescent University, Chengalpattu - TNPCB","01-02-2024 11:00:00",12.8777316,80.0834807,PM2.5,NA,NA,NA
India,TamilNadu,Chennai,"Alandur Bus Depot, Chennai - CPCB","01-02-2024 11:00:00",12.9099161,80.1076538,NO2,13,30,19
India,TamilNadu,Chennai,"Arumbakkam, Chennai - TNPCB","01-02-2024 11:00:00",13.0664,"80.2112 ",PM10,29,124,62
India,TamilNadu,Chennai,"Arumbakkam, Chennai - TNPCB","01-02-2024 11:00:00",13.0664,"80.2112 ",SO2,1,20,6
India,TamilNadu,Chennai,"Gandhi Nagar_Ennore, Chennai - TNPCB","01-02-2024 11:00:00",13.218341,80.32027,NO2,14,30,21
India,TamilNadu,Chennai,"Gandhi Nagar_Ennore, Chennai - TNPCB","01-02-2024 11:00:00",13.218341,80.32027,SO2,12,14,13
India,TamilNadu,Chennai,"Manali, Chennai - CPCB","01-02-2024 11:00:00",13.164544,80.26285,PM2.5,21,61,39
India,TamilNadu,Chennai,"Manali, Chennai - CPCB","01-02-2024 11:00:00",13.164544,80.26285,PM10,24,86,46
India,TamilNadu,Chennai,"Manali, Chennai - CPCB","01-02-2024 11:00:00",13.164544,80.26285,SO2,4,7,6
India,TamilNadu,Chennai,"Manali, Chennai - CPCB","01-02-2024 11:00:00",13.164544,80.26285,CO,22,90,65
India,TamilNadu,Chennai,"Perungudi, Chennai - TNPCB","01-02-2024 11:00:00",12.9533,80.2357,NO2,3,17,7
India,TamilNadu,Chennai,"Velachery Res. Area, Chennai - CPCB","01-02-2024 11:00:00",13.0052189,80.2398125,NO2,15,117,33
India,TamilNadu,Coimbatore,"PSG College of Arts and Science, Coimbatore - TNPCB","01-02-2024 11:00:00",11.0328,77.0349,CO,5,83,5
India,TamilNadu,Cuddalore,"Kudikadu, Cuddalore - TNPCB","01-02-2024 11:00:00",11.6829898,79.7532099,PM2.5,18,66,34
India,TamilNadu,Cuddalore,"Kudikadu, Cuddalore - TNPCB","01-02-2024 11:00:00",11.6829898,79.7532099,NO2,24,33,29
India,TamilNadu,Cuddalore,"Kudikadu, Cuddalore - TNPCB","01-02-2024 11:00:00",11.6829898,79.7532099,NH3,5,6,5
India,TamilNadu,Cuddalore,"Semmandalam, Cuddalore - TNPCB","01-02-2024 11:00:00",11.7637683,79.7499835,OZONE,1,2,2
India,TamilNadu,Gummidipoondi,"Anthoni Pillai Nagar, Gummidipoondi - TNPCB","01-02-2024 11:00:00",13.4127,80.1081,PM10,43,448,115
India,TamilNadu,Gummidipoondi,"Anthoni Pillai Nagar, Gummidipoondi - TNPCB","01-02-2024 11:00:00",13.4127,80.1081,NO2,10,15,12
India,TamilNadu,Ooty,"Bombay Castel, Ooty - TNPCB","01-02-2024 11:00:00",11.4068288,76.7138973,PM10,16,129,62
India,TamilNadu,Ooty,"Bombay Castel, Ooty - TNPCB","01-02-2024 11:00:00",11.4068288,76.7138973,CO,20,20,20
India,TamilNadu,Palkalaiperur,"Bharathidasan University, Palkalaiperur - TNPCB","01-02-2024 11:00:00",10.681158,78.741746,PM10,19,59,36
India,TamilNadu,Palkalaiperur,"Bharathidasan University, Palkalaiperur - TNPCB","01-02-2024 11:00:00",10.681158,78.741746,SO2,25,28,27
India,TamilNadu,Ramanathapuram,"Chalai Bazaar, Ramanathapuram - TNPCB","01-02-2024 11:00:00",9.36399,78.831977,SO2,NA,NA,NA
India,TamilNadu,Salem,"Sona College of Technology, Salem - TNPCB","01-02-2024 11:00:00",11.679111,78.125052,CO,NA,NA,NA
India,TamilNadu,Thoothukudi,"Meelavittan, Thoothukudi - TNPCB","01-02-2024 11:00:00","8.816428 ",78.099039,PM10,18,97,42
India,TamilNadu,Tirupur,"Kumaran College, Tirupur - TNPCB","01-02-2024 11:00:00",11.0973603,77.3228673,PM10,47,172,99
India,TamilNadu,Tirupur,"Kumaran College, Tirupur - TNPCB","01-02-2024 11:00:00",11.0973603,77.3228673,NH3,NA,NA,NA
India,TamilNadu,Tirupur,"Kumaran College, Tirupur - TNPCB","01-02-2024 11:00:00",11.0973603,77.3228673,SO2,19,19,19
India,TamilNadu,Vellore,"Vasanthapuram, Vellore - TNPCB","01-02-2024 11:00:00",12.909494,79.131861,OZONE,1,2,1
India,TamilNadu,Virudhunagar,"Collectorate Office, Virudhunagar - TNPCB","01-02-2024 11:00:00",9.559382,77.948828,SO2,16,17,16
India,TamilNadu,Virudhunagar,"Collectorate Office, Virudhunagar - TNPCB","01-02-2024 11:00:00",9.559382,77.948828,OZONE,3,3,3
